model,model_id,prompt_id,category,priority,status,auto_pass,overall_score,language_score,correctness_score,instruction_following_score,conciseness_score,tts_suitability_score,tool_accuracy,valid_json,gpu_index,gpu_name,load_mode,dtype,device,load_seconds,first_token_seconds,generate_seconds,wall_seconds,prompt_tokens,completion_tokens,total_tokens,tokens_per_second,response_chars,chars_per_second,peak_cpu_percent,avg_cpu_percent,peak_ram_mb,avg_ram_mb,peak_sys_ram_mb,peak_sys_ram_percent,peak_gpu_util_percent,avg_gpu_util_percent,peak_vram_mb,avg_vram_mb,model_vram_mb,error,response_text
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,A001,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.5512,2.7163,229.693,169,31,200,11.413,81,29.8,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,النهارده عامل تبادل معلومات، معلومات عن المدن، أو معلومات عن الأحداث. ماذا تريده؟
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,A002,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.5598,5.6674,229.693,177,93,270,16.41,247,43.6,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,"-cloud computing بسّطه ممكن تتخيله كأنك تستخدم الإنترنت لتشغيل برامج أو تخزين بيانات بدل ما تشتري جهاز أو مساحة في مكتبك.  
مثلاً: تستخدم Google Drive أو Microsoft 365، والجهاز اللي يخزن وينتقل البيانات مفيش في بيتك، هو في مكان بعيد يديره مبرمجين."
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,A005,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.566,4.3792,229.693,176,54,230,12.331,151,34.5,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,RAM هي ذاكرة تُستخدم لتخزين البيانات المؤقتة أثناء تشغيل البرامج، بينما VRAM هي ذاكرة مخصصة للجهاز الرسومي لتخزين البيانات المرتبطة بالصور والفيديوهات.
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,C001,code_switching,critical,ok,False,2.08,5,1,2,1,2,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.6128,12.7178,229.693,180,185,365,14.547,365,28.7,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,"ابدأ بفحص:  
1. سرعة الإنترنت (مثلاً: هل تصل للـ API بسرعة؟)  
2. مدة الـ timeout (مثلاً: 5 ثواني؟ 30 ثانية؟)  
3. هل الـ API مُستقر؟ (مثلاً: هل يُعطل من الخادم؟)  
4. هل توجد عوائق في الشبكة (مثل: مُعطل، مُحَدَّث، أو مُحَدَّث بـ firewall)؟  

إذا أردت، أخبرني بـ:  
- مدة الـ timeout  
- نوع الـ API (مثلاً: REST، GraphQL)  
- هل تستخدمه من جهاز مُتَّصل بالإنترنت؟"
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,C002,code_switching,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.5781,4.1466,229.693,174,56,230,13.505,161,38.8,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,"الـ pay-as-you-go هو دفع مبلغ يتناسب مع الاستخدام، وتحتاج لدفع كل مرة تستخدم خدمة.  
الـ monthly subscription هو دفع مبلغ ثابت كل شهر لاستخدام الخدمة طوال الشهر."
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,D001,asr_noise,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.5876,2.6524,229.693,184,39,223,14.704,79,29.8,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,"محتاج توضح لي وقت الـ ""تمانيه"" وساعة ""تسعه""؟ هل تقصد 10 صباحًا؟ ومتى تقدر تروح؟"
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,D002,asr_noise,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.5805,1.2327,229.693,176,12,188,9.735,24,19.5,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,شغل التكييف على 20 لا 24
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,D003,asr_noise,high,ok,True,5.0,5,5,5,5,5,1.0,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.5777,2.0027,229.693,168,27,195,13.481,77,38.4,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,معلومة غير واضحة. من فضلك أخبرني بتفاصيل أكثر عن اجتماع الخميس مع تلاته أحمد؟
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,D005,asr_noise,high,ok,False,3.06,5,1,2,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.5742,1.4194,229.693,173,16,189,11.273,32,22.5,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,ممكن، سأفكر فيك يوم 25 الساعة 7.
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,E001,instruction_following,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.586,3.17,229.693,176,40,216,12.618,101,31.9,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,Quantization تقلل من دقة البيانات وتنقص حجم الموديل، ما يسرع من سرعة التشغيل ويقلل من استهلاك الطاقة.
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,E003,instruction_following,high,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.5899,1.165,229.693,172,10,182,8.584,15,12.9,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,أي طيارة؟ ومتى؟
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,E004,instruction_following,high,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.749,10.7889,229.693,199,183,382,16.962,392,36.3,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,"نعم، 16 جيجا VRAM كفاية لتشغيل موديل 14B بكمية 4-bit.

السبب: موديل 14B بـ 4-bit يعني أن كل مُدخل يُعالج بـ 4 بت، مما يقلل من كمية الذاكرة المطلوبة. حساب الذاكرة المطلوبة يُحسب كالتالي: 14 مليار مُعامل × 4 بت = 56 مليار بت = 7 جيجا بايت (بما أن 1 جيجا بايت = 8 مليار بت). هذا يُحسب تقريبًا كـ 7 جيجا بايت فقط، ونضيف 1-2 جيجا بايت للعمليات والذاكرة المؤقتة، أي أن 16 جيجا بايت كافية بشكل كبير."
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,G001,multi_turn_memory,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.6067,1.1567,229.693,191,7,198,6.052,14,12.1,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,أنا اسمي كريم.
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,G002,multi_turn_memory,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.7797,1.061,229.693,215,5,220,4.712,17,16.0,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,الاجتماع مع أحمد.
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,G003,multi_turn_memory,critical,ok,False,2.88,5,1,1,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.7715,1.0418,229.693,211,5,216,4.799,8,7.7,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,للمحمود.
