model,prompt_id,category,priority,auto_pass,overall_score,language_score,correctness_score,instruction_following_score,conciseness_score,tts_suitability_score,tool_accuracy,valid_json,first_token_seconds,tokens_per_second,auto_failures
Qwen3-4B-Instruct-2507,A001,egyptian_arabic,critical,True,5.0,5,5,5,5,5,,,0.5512,11.413,
Qwen3-4B-Instruct-2507,A002,egyptian_arabic,critical,True,5.0,5,5,5,5,5,,,0.5598,16.41,
Qwen3-4B-Instruct-2507,A005,egyptian_arabic,critical,True,5.0,5,5,5,5,5,,,0.566,12.331,
Qwen3-4B-Instruct-2507,C001,code_switching,critical,False,2.08,5,1,2,1,2,,,0.6128,14.547,too many sentences (18 > 2×4)
Qwen3-4B-Instruct-2507,C002,code_switching,critical,True,5.0,5,5,5,5,5,,,0.5781,13.505,
Qwen3-4B-Instruct-2507,D001,asr_noise,critical,True,5.0,5,5,5,5,5,,,0.5876,14.704,
Qwen3-4B-Instruct-2507,D002,asr_noise,critical,True,5.0,5,5,5,5,5,,,0.5805,9.735,
Qwen3-4B-Instruct-2507,D003,asr_noise,high,True,5.0,5,5,5,5,5,1.0,,0.5777,13.481,
Qwen3-4B-Instruct-2507,D005,asr_noise,high,False,3.06,5,1,2,5,5,,,0.5742,11.273,expected a clarification question
Qwen3-4B-Instruct-2507,E001,instruction_following,critical,True,5.0,5,5,5,5,5,,,0.586,12.618,
Qwen3-4B-Instruct-2507,E003,instruction_following,high,True,5.0,5,5,5,5,5,,,0.5899,8.584,
Qwen3-4B-Instruct-2507,E004,instruction_following,high,True,5.0,5,5,5,5,5,,,0.749,16.962,
Qwen3-4B-Instruct-2507,G001,multi_turn_memory,critical,True,5.0,5,5,5,5,5,,,0.6067,6.052,
Qwen3-4B-Instruct-2507,G002,multi_turn_memory,critical,True,5.0,5,5,5,5,5,,,0.7797,4.712,
Qwen3-4B-Instruct-2507,G003,multi_turn_memory,critical,False,2.88,5,1,1,5,5,,,0.7715,4.799,missing required text: 'محمد'; forbidden text present: 'محمود'
Qwen3-4B-Instruct-2507,J001,tool_calling,critical,False,2.6,5,1,2,5,5,0.0,,2.2621,8.81,expected tool 'create_reminder'
Qwen3-4B-Instruct-2507,J002,tool_calling,critical,True,5.0,5,5,5,5,5,1.0,,2.2692,8.001,
