model,model_id,prompt_id,category,priority,status,auto_pass,overall_score,language_score,correctness_score,instruction_following_score,conciseness_score,tts_suitability_score,tool_accuracy,valid_json,gpu_index,gpu_name,load_mode,dtype,device,load_seconds,first_token_seconds,generate_seconds,wall_seconds,prompt_tokens,completion_tokens,total_tokens,tokens_per_second,response_chars,chars_per_second,peak_cpu_percent,avg_cpu_percent,peak_ram_mb,avg_ram_mb,peak_sys_ram_mb,peak_sys_ram_percent,peak_gpu_util_percent,avg_gpu_util_percent,peak_vram_mb,avg_vram_mb,model_vram_mb,error
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,A001,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.5512,2.7163,229.693,169,31,200,11.413,81,29.8,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,A002,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.5598,5.6674,229.693,177,93,270,16.41,247,43.6,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,A005,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.566,4.3792,229.693,176,54,230,12.331,151,34.5,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,C001,code_switching,critical,ok,False,2.08,5,1,2,1,2,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.6128,12.7178,229.693,180,185,365,14.547,365,28.7,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,C002,code_switching,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.5781,4.1466,229.693,174,56,230,13.505,161,38.8,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,D001,asr_noise,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.5876,2.6524,229.693,184,39,223,14.704,79,29.8,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,D002,asr_noise,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.5805,1.2327,229.693,176,12,188,9.735,24,19.5,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,D003,asr_noise,high,ok,True,5.0,5,5,5,5,5,1.0,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.5777,2.0027,229.693,168,27,195,13.481,77,38.4,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,D005,asr_noise,high,ok,False,3.06,5,1,2,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.5742,1.4194,229.693,173,16,189,11.273,32,22.5,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,E001,instruction_following,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.586,3.17,229.693,176,40,216,12.618,101,31.9,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
